Frequency (MHz),Ground Data (Watts),Sky Data (Watts),Source Data (Watts),Original Receiver Temperature (Tr) (K),Corrected Receiver Temperature (Tr) (K),Source Temperature (Ts) (K),Brightness Temperature (K)
1420.3359375,6.683439175686149e-07,1.782378767448089e-07,2.046444636724674e-07,102.28325966221114,85.3716712038322,27.627725356807815,21.84279173524101
1420.33984375,6.729766562843181e-07,1.7906058540352948e-07,2.079696687103696e-07,101.947062078469,85.381266289201,28.71293040978111,22.927996788214305
1420.34375,6.729766562843181e-07,1.761976046411629e-07,2.0989398836235243e-07,99.63060629714302,85.3908613745698,29.808292960043758,24.023359338476954
1420.34765625,6.807693586937411e-07,1.7701089583174203e-07,2.157744409152669e-07,98.65724473132812,85.4004564599386,31.75481824381471,25.969884622247907
1420.3515625,6.792036326171844e-07,1.7498466886246564e-07,2.187761623949552e-07,97.37710404628605,85.41005154530694,33.73317734264586,27.948243721079056
1420.35546875,6.776415076106751e-07,1.7418068733916128e-07,2.223309890651403e-07,97.0601816390436,85.41964663067574,36.03472530217056,30.249791680603753
1420.359375,6.839116472814293e-07,1.7338039977541374e-07,2.2594357702209782e-07,95.18430445463457,85.42924171604454,36.90483997185268,31.119906350285877
1420.36328125,6.823386941416697e-07,1.7179083871575893e-07,2.2855988033754323e-07,94.26258015298464,85.43883680141334,38.669852436254445,32.88491881468764
1420.3671875,6.854882264526614e-07,1.6982436524617427e-07,2.3014418174085066e-07,92.15279955901468,85.44843188678215,38.96110504857404,33.17617142700723
1420.37109375,6.854882264526614e-07,1.690440931643265e-07,2.328091257665008e-07,91.56031363151261,85.45802697215095,40.453260510426844,34.66832688886004
1420.375,6.870684400142325e-07,1.6826740610704672e-07,2.376840286624876e-07,90.68000361861124,85.46762205751975,42.88080728917325,37.09587366760644
1420.37890625,6.854882264526614e-07,1.6595869074375615e-07,2.3823194693586916e-07,89.23489985531707,85.47721714288855,43.49005522676018,37.70512160519337
1420.3828125,6.886522963442763e-07,1.6634126503701698e-07,2.41546083444494e-07,88.94914188027798,85.4868122282569,44.72340954480586,38.938475923239054
1420.38671875,6.918309709189362e-07,1.671090614310707e-07,2.454708915685029e-07,88.949141880278,85.4964073136257,46.2828795026887,40.49794588112189
1420.390625,6.966265141107687e-07,1.6788040181225607e-07,2.4717241450161294e-07,88.6644589580557,85.5060023989945,46.27668888207958,40.491755260512775
1420.39453125,6.966265141107687e-07,1.6672472125510626e-07,2.48885731828239e-07,87.81680762996268,85.5155974843633,47.21865418071175,41.433720559144945
1420.3984375,6.966265141107687e-07,1.6595869074375615e-07,2.494594726942954e-07,87.25698565776541,85.5251925697321,47.53000530279658,41.745071681229774
1420.40234375,6.966265141107687e-07,1.6557699634695275e-07,2.523480772480576e-07,86.9786428354784,85.5347876551009,49.12248981902812,43.33755619746131
1420.40625,6.99841996002273e-07,1.6405897731995388e-07,2.494594726942954e-07,85.3302206710709,85.5443827404697,46.88334947349247,41.098415851925665
1420.41015625,7.014552984199713e-07,1.6557699634695275e-07,2.5118864315095796e-07,86.14982587164992,85.55397782583805,47.51152794434324,41.726594322776435
1420.4140625,7.030723198838334e-07,1.651961798229015e-07,2.506109253032114e-07,85.60240716800593,85.56357291120685,46.87099966086521,41.0860660392984
1420.41796875,6.99841996002273e-07,1.651961798229015e-07,2.494594726942954e-07,86.14982587165005,85.57316799657565,46.86482475455148,41.07989113298467
1420.421875,7.046930689671467e-07,1.6443717232149307e-07,2.48885731828239e-07,84.78886882313255,85.58276308194445,45.59857940047783,39.813645778911024
1420.42578125,7.063175542629615e-07,1.6595869074375615e-07,2.466039337234341e-07,85.60240716800607,85.59235816731325,44.03347940935464,38.24854578778783
1420.4296875,7.030723198838334e-07,1.6557699634695275e-07,2.443430552693974e-07,85.87560725353829,85.60195325268205,43.408669425757665,37.62373580419086
1420.43359375,7.063175542629615e-07,1.6330519478943344e-07,2.4099054286865955e-07,83.71811409521223,85.61154833805085,40.956378594448864,35.17144497288206
1420.4375,7.046930689671467e-07,1.6405897731995388e-07,2.3659196974857587e-07,84.51969373949429,84.51969373949429,39.57803086603518,33.79309724446837
1420.44140625,7.046930689671467e-07,1.6292960326397213e-07,2.3334580622810022e-07,83.71811409521212,83.71811409521212,38.34289535832032,32.55796173675351
1420.4453125,7.07945784384138e-07,1.6443717232149307e-07,2.328091257665008e-07,84.25151277869595,84.25151277869595,37.11022386514183,31.32529024357503
1420.44921875,7.063175542629615e-07,1.6292960326397213e-07,2.2855988033754323e-07,83.45288688221423,83.45288688221423,35.63003504422474,29.845101422657937
1420.453125,7.046930689671467e-07,1.6255487557504835e-07,2.2542392121524303e-07,83.45288688221423,83.45288688221423,34.20966958224224,28.424735960675438
1420.45703125,7.030723198838334e-07,1.6180800376430679e-07,2.223309890651403e-07,83.18863481096288,83.18863481096288,32.98625113834984,27.20131751678304
1420.4609375,7.030723198838334e-07,1.6180800376430679e-07,2.187761623949552e-07,83.18863481096288,83.18863481096288,31.048798702499568,25.263865080932764
1420.46484375,6.99841996002273e-07,1.6143585568264852e-07,2.157744409152669e-07,83.45288688221423,83.45288688221423,29.77284515014314,23.987911528576337
1420.46875,7.014552984199713e-07,1.599558028614668e-07,2.1134890398366475e-07,82.14128495256287,82.14128495256287,27.99811441266685,22.213180791100047
1420.47265625,7.014552984199713e-07,1.6180800376430679e-07,2.0941124558508934e-07,83.45288688221437,83.45288688221437,26.02247148499339,20.237537863426585
1420.4765625,6.99841996002273e-07,1.599558028614668e-07,2.0606299132700006e-07,82.4016828799065,82.4016828799065,25.193495907358596,19.408562285791792
1420.48046875,6.99841996002273e-07,1.60324539069004e-07,2.037042077705719e-07,82.66303743755601,82.66303743755601,23.71934791452975,17.934414292962945
1420.484375,6.966265141107687e-07,1.5812480392703843e-07,1.9998618696327426e-07,81.62334079229016,81.62334079229016,22.932346847099524,17.14741322553272
1420.48828125,6.966265141107687e-07,1.5812480392703843e-07,1.9815270258050968e-07,81.62334079229016,81.62334079229016,21.927934265510856,16.143000643944053
1420.4921875,6.918309709189362e-07,1.5703628043335533e-07,1.9498445997580455e-07,81.6233407922902,81.6233407922902,20.932730193820703,15.147796572253899
1420.49609375,6.902398038402419e-07,1.5631476426409537e-07,1.9275249131909368e-07,81.36578553145695,81.36578553145695,20.13228203299407,14.347348411427266
1420.5,6.886522963442763e-07,1.555965631605075e-07,1.8967059212111463e-07,81.10916884468726,81.10916884468726,18.857012349051644,13.07207872748484
1420.50390625,6.886522963442763e-07,1.555965631605075e-07,1.8967059212111463e-07,81.10916884468726,81.10916884468726,18.857012349051644,13.07207872748484
1420.5078125,6.902398038402419e-07,1.5631476426409537e-07,1.8879913490962924e-07,81.36578553145695,81.36578553145695,17.948005113301704,12.1630714917349
1420.51171875,6.934258060165695e-07,1.5776112696993466e-07,1.8836490894898002e-07,81.88183909934261,81.88183909934261,16.85404327925157,11.069109657684766
1420.515625,6.950243175887969e-07,1.57398286446622e-07,1.8663796908346694e-07,81.36578553145696,81.36578553145696,16.044063862652138,10.259130241085334
1420.51953125,6.950243175887969e-07,1.5776112696993466e-07,1.8793168168032686e-07,81.62334079228992,81.62334079228992,16.56602163515727,10.781088013590466
1420.5234375,6.950243175887969e-07,1.5885467485977776e-07,1.8706821403657996e-07,82.40168287990639,82.40168287990639,15.523060975242686,9.738127353675882
1420.52734375,6.918309709189362e-07,1.5958791472367336e-07,1.8706821403657996e-07,83.45288688221437,83.45288688221437,15.23117719047022,9.446243568903416
1420.53125,6.934258060165695e-07,1.5812480392703843e-07,1.8450154191794718e-07,82.14128495256297,82.14128495256297,14.536004373137075,8.751070751570271
1420.53515625,6.950243175887969e-07,1.5958791472367336e-07,1.857804455091697e-07,82.92535321014158,82.92535321014158,14.430839106895377,8.645905485328573
1420.5390625,6.966265141107687e-07,1.5922087270511716e-07,1.8450154191794718e-07,82.4016828799066,82.4016828799066,13.877408131180133,8.092474509613329
